언어명,관광지명,구분,위도 (Latitude),경도 (Longitude)
영어권,Namsan Outdoor Botanical Garden (남산 야외식물원),자연관광지,37.5469,126.9926
영어권,Lee Ri-Ja Hanbok Museum (이리자 한복전시관),문화시설,37.5255,127.0384
영어권,Seoul City Wall Museum (한양도성박물관),문화시설,37.5711,127.009
영어권,King Sejong Statue (세종대왕 동상),건축/조형물,37.5727,126.9769
영어권,Bukhansan National Park (Seoul District) (북한산국립공원(서울)),자연관광지,37.6593,126.9774
영어권,Hanboknam (한복남),체험관광지,37.5794,126.9839
영어권,Dream Forest (북서울 꿈의숲),자연관광지,37.6214,127.0401
영어권,Dongdaemun Dak Hanmari Alley (서울 동대문 닭한마리 골목),체험관광지,37.5714,127.0118
영어권,Some Sevit (세빛섬),자연관광지,37.5126,126.9953
영어권,Cheonggyesan Mountain (청계산),자연관광지,37.4429,127.0601
영어권,Waterworks Museum (수도박물관),산업관광지,37.5451,127.0423
영어권,Leeum_ Samsung Museum of Art (삼성미술관 리움),문화시설,37.5381,126.9996
영어권,Montmartre Park (몽마르트 공원),휴양관광지,37.5029,126.9921
영어권,Myeong-dong Tourist Information Center (명동관광정보센터),산업관광지,37.5634,126.9841
영어권,Statue of Admiral Yi Sun-Shin (충무공 이순신 동상),건축/조형물,37.5712,126.9767
영어권,Dongdaemun Stationery Store Street (동대문 문구완구거리),체험관광지,37.569,127.0125
영어권,Lotte World Folk Museum (롯데월드 민속박물관),문화시설,37.5132,127.1002
영어권,Choi Sunu House (최순우 옛집),역사관광지,37.5925,126.9749
영어권,Seochon Village (서촌마을),체험관광지,37.5797,126.9701
영어권,Unhyeongung Royal Residence (서울 운현궁),역사관광지,37.5768,126.9877
