시군구명,시도명,관광지명,구분,방문자수,위도(Latitude),경도(Longtitude),도로명주소
용산구,서울특별시,레일크루즈 해랑열차,체험관광지,9165,37.554722,126.970833,서울특별시 용산구 동자동
종로구,서울특별시,서울 한양도성(스탬프투어),육상 레포츠,8489,37.57193,127.009773,서울특별시 종로구 종로5·6가동
종로구,서울특별시,인사동,체험관광지,8359,37.573264,126.984365,서울특별시 종로구 인사동
마포구,서울특별시,망원시장,쇼핑,8308,37.556272,126.908027,서울특별시 마포구 망원1동
종로구,서울특별시,서순라길,체험관광지,8289,37.575525,126.995924,서울특별시 종로구 권농동
마포구,서울특별시,AK&홍대,쇼핑,8233,37.555896,126.924976,서울특별시 마포구 동교동
중구,서울특별시,동대문디자인플라자(DDP),산업관광지,7982,37.566827,127.009363,서울특별시 중구 을지로동
중구,서울특별시,동대문역사문화공원,휴양관광지,7927,37.565593,127.009033,서울특별시 중구 을지로동
강서구,서울특별시,스위트파크 롯데 어린이 식품체험관,문화시설,7890,37.565431,126.9822,서울특별시 중구 소공동
종로구,서울특별시,종로3가 포장마차 거리,체험관광지,6809,37.570416,126.990868,서울특별시 종로구 돈의동
용산구,서울특별시,국립중앙박물관,문화시설,6638,37.523864,126.980459,서울특별시 용산구 용산6가동
중구,서울특별시,손기정문화도서관,문화시설,6556,37.557463,126.963404,서울특별시 중구 만리동
종로구,서울특별시,승가사(서울),역사관광지,6497,37.616654,126.953835,서울특별시 종로구 구기동
종로구,서울특별시,창덕궁과 후원 [유네스코 세계유산],역사관광지,6291,37.579434,126.991062,서울특별시 종로구 와룡동
송파구,서울특별시,롯데월드타워 서울스카이,건축/조형물,6224,37.512521,127.102575,서울특별시 송파구 신천동
광진구,서울특별시,강변스파랜드,휴양관광지,6088,37.534882,127.094586,서울특별시 광진구 구의3동
종로구,서울특별시,서울 동대문 닭한마리 골목,체험관광지,5867,37.571192,127.009511,서울특별시 종로구 종로6가동
종로구,서울특별시,서울공예박물관,문화시설,5763,37.578056,126.981111,서울특별시 종로구 안국동
중구,서울특별시,간송미술관(서울 보화각),문화시설,5692,37.6025,127.0175,서울특별시 성북구 성북동
