시군구명,시도명,관광지명,구분,방문자수,위도 (Latitude),경도 (Longitude),,
영등포구,서울특별시,이랜드크루즈 (한강유람선),휴양관광지,485,37.528091,126.934444,,
중구,서울특별시,덕수궁 돌담길,체험관광지,479,37.565985,126.974465,,
성동구,서울특별시,성수동 수제화거리,체험관광지,474,37.541944,127.056667,,
중구,서울특별시,서울 애니메이션센터,산업관광지,472,37.557778,126.985556,,
중구,서울특별시,숭례문,역사관광지,459,37.56005,126.9754,,
중구,서울특별시,서울로 7017,휴양관광지,458,37.556485,126.970222,,
송파구,서울특별시,롯데월드타워&롯데월드몰,건축/조형물,451,37.512559,127.102538,,
종로구,서울특별시,인왕산,자연관광지,445,37.585278,126.963056,,
종로구,서울특별시,광화문,역사관광지,441,37.576068,126.976955,,
종로구,서울특별시,서울 경교장,역사관광지,438,37.569444,126.97,,
서초구,서울특별시,반포한강공원,휴양관광지,436,37.510266,126.996167,,
동대문구,서울특별시,홍릉수목원,자연관광지,434,37.5925,127.045,,
종로구,서울특별시,안녕인사동,건축/조형물,415,37.574444,126.985278,,
은평구,서울특별시,일루와유 달보루,숙박시설,414,37.583333,126.978611,,
종로구,서울특별시,이음피움봉제역사관,문화시설,389,37.573889,127.012222,,
중랑구,서울특별시,망우리 시민공원,휴양관광지,386,37.603333,127.101111,,
마포구,서울특별시,월드컵공원,휴양관광지,380,37.570833,126.891944,,
용산구,서울특별시,녹사평역 지하예술정원,산업관광지,367,37.536111,126.989722,,
종로구,서울특별시,백사실계곡,자연관광지,353,37.599167,126.970556,,
은평구,서울특별시,청향재,숙박시설,351,37.593611,127.009722,,
용산구,서울특별시,이태원 우사단길,체험관광지,346,37.542222,127.003333,,
중구,서울특별시,서울시립미술관(서소문본관),문화시설,341,37.565551,126.975475,,
종로구,서울특별시,광장시장,쇼핑,336,37.570125,126.999015,,
광진구,서울특별시,서울어린이대공원,휴양관광지,336,37.549242,127.074668,,
강남구,서울특별시,호텔 카푸치노,숙박시설,335,37.5025,127.0375,,
마포구,서울특별시,난지한강공원,휴양관광지,333,37.566389,126.874167,,
성동구,서울특별시,공간 와디즈,산업관광지,331,37.542778,127.058056,,
영등포구,서울특별시,여의도샛강생태공원,자연관광지,327,37.519722,126.932778,,
용산구,서울특별시,레일크루즈 해랑열차,산업관광지,309,37.554722,126.970833,,
양천구,서울특별시,서서울호수공원,휴양관광지,306,37.522222,126.837778,,
용산구,서울특별시,남산 야외식물원,자연관광지,296,37.545833,126.995,,
용산구,서울특별시,이태원 관광특구,휴양관광지,295,37.534281,126.994119,,
성동구,서울특별시,서울새활용플라자,산업관광지,292,37.558333,127.063333,,
중구,서울특별시,명동,산업관광지,288,37.560934,126.986221,,
강남구,서울특별시,신사동 가로수길,체험관광지,283,37.520355,127.022982,,
중구,서울특별시,SK텔레콤 미래기술체험관 T.um(티움),산업관광지,280,37.564722,126.984722,,
강남구,서울특별시,서울 선릉(성종과 정현왕후)과 정릉(중종) [유네스코 세계문화유산],역사관광지,279,37.508889,127.049167,,
서대문구,서울특별시,보틀라운지,음식점,277,37.560278,126.981944,,
용산구,서울특별시,하이브 인사이트,문화시설,272,37.532222,126.990278,,
종로구,서울특별시,동대문 종합시장·동대문 쇼핑타운,쇼핑,263,37.5691,127.0093,,
종로구,서울특별시,인사동,산업관광지,263,37.574444,126.9875,,
종로구,서울특별시,종묘 [유네스코 세계문화유산],역사관광지,254,37.574722,126.993611,,
양천구,서울특별시,국제선센터,체험관광지,254,37.560833,126.836111,,
