언어명,관광지명,구분,위도 (Latitude),경도 (Longitude)
중간체,首尔儿童大公园(서울어린이대공원),휴양관광지,37.5492,127.0815
중간체,忠武公李舜臣铜像(충무공 이순신 동상),건축/조형물,37.5712,126.9767
중간체,冠岳山(관악산),자연관광지,37.4452,126.9638
중간체,仁寺洞(인사동),체험관광지,37.5728,126.9845
중간체,西村(서촌마을),체험관광지,37.5797,126.9701
중간체,南山公园(首尔) 남산공원(서울),휴양관광지,37.5552,126.9822
중간체,江南(강남),산업관광지,37.4979,127.0276
중간체,三星美术馆Leeum(삼성미술관 리움),문화시설,37.5381,126.9996
중간체,艺术殿堂예술의전당,문화시설,37.4787,127.0118
중간체,曹溪寺(首尔)조계사(서울),역사관광지,37.5739,126.9836
중간체,大学路(대학로),체험관광지,37.5826,127.0018
중간체,乐天世界塔与乐天世界购物中心롯데월드타워&롯데월드몰,건축/조형물,37.5125,127.1026
중간체,昌德宫仁政门(창덕궁 인정문),역사관광지,37.5781,126.9922
중간체,东大门设计广场(DDP)<br />동대문디자인플라자(DDP),산업관광지,37.5669,127.0094
중간체,安重根义士纪念馆(안중근의사기념관),문화시설,37.556,126.9785
중간체,CHARLOTTE 剧场(샤롯데씨어터),문화시설,37.5106,127.1021
중간체,德寿宫石墙街(덕수궁 돌담길),체험관광지,37.5651,126.9744
중간체,乐善斋낙선재,역사관광지,37.5794,126.9946
중간체,Coex Artium(코엑스아티움),문화시설,37.5126,127.0588
중간체,东大门历史文化公园(동대문역사문화공원),휴양관광지,37.5658,127.0093
중간체,63大厦(63스퀘어),건축/조형물,37.5195,126.9403
중간체,韩国历史博物馆(대한민국역사박물관),문화시설,37.5738,126.9769
중간체,COEX水族馆(코엑스 아쿠아리움),자연관광지,37.5118,127.0594
중간체,西首尔湖水公园(서서울호수공원),휴양관광지,37.5239,126.8378
중간체,首尔市立美术馆서울시립미술관,문화시설,37.5656,126.9734
중간체,鹰峰山(首尔)응봉산(서울),자연관광지,37.549,127.0326
중간체,西海金光列车（서해금빛열차）,체험관광지,37.5298,126.9645
중간체,和平列车DMZ-train평화열차 DMZ 트레인,체험관광지,37.555,126.9721
중간체,手办博物馆W(피규어뮤지엄W),문화시설,37.526,127.0392
중간체,世宗文化会馆(세종문화회관),문화시설,37.5726,126.9752
중간체,国立国乐院(국립국악원),문화시설,37.4792,127.007
중간체,世界杯公园(월드컵공원),휴양관광지,37.5709,126.8832
중간체,国立韩文博物馆국립한글박물관,문화시설,37.5233,126.9804
중간체,首尔大学奎章阁(서울대학교 규장각),문화시설,37.4594,126.953
중간체,白麟济故居(백인제가옥),역사관광지,37.5828,126.9832
중간체,青瓦台舍廊房청와대 사랑채,문화시설,37.5823,126.972
중간체,国立首尔显忠院(국립서울현충원),역사관광지,37.5023,126.9769
중간체,狎鸥亭罗德奥街압구정 로데오거리,체험관광지,37.5273,127.0403
중간체,首尔历史博物馆(서울역사박물관),문화시설,37.5705,126.9701
중간체,韩国综合贸易中心(COEX)한국종합무역센터(코엑스),문화시설,37.5119,127.0592
중간체,首尔贞陵(神德王后)[联合国教科文组织世界文化遗产]서울 정릉(신덕왕후) [유네스코 세계문화유산],역사관광지,37.6027,127.0075
